,Exercise Name,Exercise Type,Muscle Group,Equipment,Difficulty Level,Rating
0,Partner plank band row,Strength,Abdominals,Bands,Intermediate,0.0
1,Banded crunch isometric hold,Strength,Abdominals,Bands,Intermediate,
2,FYR Banded Plank Jack,Strength,Abdominals,Bands,Intermediate,
3,Banded crunch,Strength,Abdominals,Bands,Intermediate,
4,Crunch,Strength,Abdominals,Bands,Intermediate,
5,Decline band press sit-up,Strength,Abdominals,Bands,Intermediate,
6,FYR2 Banded Frog Pump,Strength,Abdominals,Bands,Intermediate,
7,Band low-to-high twist,Strength,Abdominals,Bands,Intermediate,
8,Barbell roll-out,Strength,Abdominals,Barbell,Intermediate,8.9
9,Barbell Ab Rollout - On Knees,Strength,Abdominals,Barbell,Intermediate,8.9
10,Decline bar press sit-up,Strength,Abdominals,Barbell,Intermediate,8.5
11,Bench barbell roll-out,Strength,Abdominals,Barbell,Beginner,8.3
12,Barbell Side Bend,Strength,Abdominals,Barbell,Beginner,7.0
13,Seated bar twist,Strength,Abdominals,Barbell,Intermediate,4.7
14,Single-arm landmine pull and press,Strength,Abdominals,Barbell,Intermediate,
15,Barbell Ab Roll Out - Gethin Variation,Strength,Abdominals,Barbell,Intermediate,
16,30 Barbell Floor Wiper,Strength,Abdominals,Barbell,Intermediate,
17,30 Barbell Roll-Out,Strength,Abdominals,Barbell,Intermediate,
18,Decline plate sit-up,Strength,Abdominals,Barbell,Intermediate,
19,KV Barbell Hip Thrust,Strength,Abdominals,Barbell,Intermediate,
20,Advanced Kettlebell Windmill,Strength,Abdominals,Kettlebells,Beginner,8.3
21,Kettlebell Windmill,Strength,Abdominals,Kettlebells,Intermediate,7.7
22,Kettlebell Pass Between The Legs,Strength,Abdominals,Kettlebells,Beginner,7.3
23,Kettlebell 3-point leg extension,Strength,Abdominals,Kettlebells,Intermediate,0.0
24,Double Kettlebell Swing,Strength,Abdominals,Kettlebells,Intermediate,
25,Burpee over kettlebell,Strength,Abdominals,Kettlebells,Intermediate,
26,Kettlebell toe-touch,Strength,Abdominals,Kettlebells,Intermediate,
27,Kettlebell swing,Strength,Abdominals,Kettlebells,Intermediate,
28,Two-way swing,Strength,Abdominals,Kettlebells,Intermediate,
29,Kettlebell crab reach,Strength,Abdominals,Kettlebells,Intermediate,
30,Taylor Single-Arm Kettlebell Swing,Strength,Abdominals,Kettlebells,Intermediate,
31,Holman Kettlebell Up to Elbow Down,Strength,Abdominals,Kettlebells,Intermediate,
32,FYR2 Double-Kettlebell Ski,Strength,Abdominals,Kettlebells,Intermediate,
33,FYR2 Kettlebell Hike,Strength,Abdominals,Kettlebells,Intermediate,
34,FYR2 Kettlebell Cross-Body Catch,Strength,Abdominals,Kettlebells,Intermediate,
35,FYR2 Kettlebell Duck Walk,Strength,Abdominals,Kettlebells,Intermediate,
36,FYR2 Kettlebell Get-Up Reach,Strength,Abdominals,Kettlebells,Intermediate,
37,FYR2 Kettlebell Juggle,Strength,Abdominals,Kettlebells,Intermediate,
38,FYR2 Squat-Clean-Alternating-Press Complex,Strength,Abdominals,Kettlebells,Intermediate,
